epoch,train_loss,val_loss,train_acc,val_acc
Model: Sequential(
  (0): Linear(in_features=10, out_features=32, bias=True)
  (1): ReLU()
  (2): Dropout(p=0.2, inplace=False)
  (3): Linear(in_features=32, out_features=16, bias=True)
  (4): ReLU()
  (5): Linear(in_features=16, out_features=1, bias=True)
)
Trainable params: 897
Batch size: 128
Learning rate: 6.103515625e-08
Epochs: 150

1.000000000000000000e+00,6.872934926123845933e-01,6.818735202153524133e-01,5.430199430199430521e-01,5.471124620060789923e-01
2.000000000000000000e+00,6.717069844404855994e-01,6.630436778068542480e-01,5.715099715099715150e-01,5.866261398176292330e-01
3.000000000000000000e+00,6.521288383574712633e-01,6.523947914441426965e-01,5.868945868945868449e-01,5.744680851063830307e-01
4.000000000000000000e+00,6.406072803906032176e-01,6.407566467920938758e-01,5.933523266856600697e-01,5.942249240121580955e-01
5.000000000000000000e+00,6.357336966764359776e-01,6.433322827021280554e-01,5.969610636277302707e-01,5.896656534954407558e-01
6.000000000000000000e+00,6.325910304273877349e-01,6.401238739490509033e-01,6.142450142450142092e-01,5.805471124620060763e-01
7.000000000000000000e+00,6.287615355991181820e-01,6.364465256532033655e-01,6.087369420702753997e-01,5.927051671732522786e-01
8.000000000000000000e+00,6.310994057428269688e-01,6.372763017813364295e-01,6.115859449192782016e-01,5.835866261398175991e-01
9.000000000000000000e+00,6.258532773880731703e-01,6.394941806793212891e-01,6.186134852801519202e-01,5.942249240121580955e-01
1.000000000000000000e+01,6.279632420766920742e-01,6.274500389893850061e-01,6.140550807217474150e-01,6.003039513677811412e-01
1.100000000000000000e+01,6.232560049919855238e-01,6.348467270533243445e-01,6.136752136752137154e-01,6.003039513677811412e-01
1.200000000000000000e+01,6.243743470736912160e-01,6.365007758140563965e-01,6.210826210826211335e-01,5.972644376899696184e-01
1.300000000000000000e+01,6.234991082123347850e-01,6.343640983104705811e-01,6.250712250712250340e-01,5.972644376899696184e-01
1.400000000000000000e+01,6.240632917199816498e-01,6.322898765405019494e-01,6.184235517568851259e-01,5.942249240121580955e-01
1.500000000000000000e+01,6.241331653935568990e-01,6.275953948497772217e-01,6.167141500474834226e-01,5.835866261398175991e-01
1.600000000000000000e+01,6.229062648046583828e-01,6.273827652136484412e-01,6.201329534662868292e-01,5.911854103343464617e-01
1.700000000000000000e+01,6.232551591736930074e-01,6.390318075815836218e-01,6.178537511870845211e-01,5.775075987841945535e-01
1.800000000000000000e+01,6.194991299084254832e-01,6.398371458053588867e-01,6.189933523266856197e-01,5.729483282674772138e-01
1.900000000000000000e+01,6.240580649602980312e-01,6.402736802895864221e-01,6.170940170940171221e-01,5.851063829787234161e-01
2.000000000000000000e+01,6.187059013616471592e-01,6.266916890939077112e-01,6.298195631528964444e-01,5.896656534954407558e-01
2.100000000000000000e+01,6.201414366563161584e-01,6.318958600362142297e-01,6.216524216524216273e-01,5.972644376899696184e-01
2.200000000000000000e+01,6.192855324063982758e-01,6.350780030091603967e-01,6.239316239316239354e-01,6.124620060790273435e-01
2.300000000000000000e+01,6.181838540803819004e-01,6.367366015911102295e-01,6.286799620132953459e-01,6.033434650455926640e-01
2.400000000000000000e+01,6.209015505654471578e-01,6.320497492949167517e-01,6.267806267806267373e-01,5.668693009118540571e-01
2.500000000000000000e+01,6.176416561717078535e-01,6.311999956766763953e-01,6.226020892687559316e-01,5.866261398176292330e-01
2.600000000000000000e+01,6.186515064466566738e-01,6.279176970322927209e-01,6.260208926875593383e-01,6.063829787234042978e-01
2.700000000000000000e+01,6.137600328241076264e-01,6.260408262411752967e-01,6.248812915479582397e-01,6.185410334346505001e-01
2.800000000000000000e+01,6.193944982119968801e-01,6.247599224249521521e-01,6.273504273504273421e-01,6.170212765957446832e-01
2.900000000000000000e+01,6.197538702260880772e-01,6.314759254455566406e-01,6.294396961063627449e-01,5.911854103343464617e-01
3.000000000000000000e+01,6.171068676880427928e-01,6.339524984359741211e-01,6.383665716999050721e-01,6.215805471124620230e-01
3.100000000000000000e+01,6.184200786408924344e-01,6.269855697949727746e-01,6.305792972459639545e-01,6.033434650455926640e-01
3.200000000000000000e+01,6.164721520174116787e-01,6.363725860913594934e-01,6.355175688509021592e-01,5.942249240121580955e-01
3.300000000000000000e+01,6.166302036671411635e-01,6.216990749041239050e-01,6.233618233618233306e-01,6.063829787234042978e-01
3.400000000000000000e+01,6.143213141532171129e-01,6.247675021489461633e-01,6.286799620132953459e-01,6.094224924012158207e-01
3.500000000000000000e+01,6.157919509070259867e-01,6.310419440269470215e-01,6.313390313390313535e-01,5.851063829787234161e-01
3.600000000000000000e+01,6.133985519409179688e-01,6.231053074200948450e-01,6.322886989553656578e-01,6.003039513677811412e-01
3.700000000000000000e+01,6.115311100369408281e-01,6.351605455080667761e-01,6.351377018043684597e-01,5.927051671732522786e-01
3.800000000000000000e+01,6.140542512848263801e-01,6.282080014546712610e-01,6.349477682811016654e-01,5.987841945288754353e-01
3.900000000000000000e+01,6.123763606661841719e-01,6.306968828042348596e-01,6.366571699905033688e-01,5.942249240121580955e-01
4.000000000000000000e+01,6.152257876736777487e-01,6.316014230251312256e-01,6.246913580246913344e-01,6.003039513677811412e-01
4.100000000000000000e+01,6.136029149804796967e-01,6.203082601229349402e-01,6.305792972459639545e-01,6.109422492401215266e-01
4.200000000000000000e+01,6.122593638442811459e-01,6.309594810009002686e-01,6.347578347578347602e-01,5.881458966565349389e-01
4.300000000000000000e+01,6.138500542867750820e-01,6.165859003861745569e-01,6.313390313390313535e-01,6.109422492401215266e-01
4.400000000000000000e+01,6.130464431785401791e-01,6.277738412221273157e-01,6.376068376068375620e-01,6.018237082066869581e-01
4.500000000000000000e+01,6.103627241793132541e-01,6.320469578107198450e-01,6.328584995251661516e-01,5.881458966565349389e-01
4.600000000000000000e+01,6.099646361101240810e-01,6.279090742270151404e-01,6.433048433048432768e-01,5.927051671732522786e-01
4.700000000000000000e+01,6.126423165911719648e-01,6.245370407899221155e-01,6.412155745489078740e-01,6.018237082066869581e-01
4.800000000000000000e+01,6.148677354767209113e-01,6.247637967268625525e-01,6.319088319088319583e-01,6.109422492401215266e-01
4.900000000000000000e+01,6.123266120751699182e-01,6.248527268568674353e-01,6.387464387464387716e-01,6.109422492401215266e-01
5.000000000000000000e+01,6.084633384432110992e-01,6.194766263167063025e-01,6.450142450142449801e-01,6.003039513677811412e-01
5.100000000000000000e+01,6.115871100198655430e-01,6.265436609586080285e-01,6.436847103513769763e-01,6.139817629179331604e-01
5.200000000000000000e+01,6.135037399473644015e-01,6.289126972357431677e-01,6.319088319088319583e-01,6.033434650455926640e-01
5.300000000000000000e+01,6.127292925403231560e-01,6.319765647252401086e-01,6.362773029439695582e-01,5.820668693009118932e-01
5.400000000000000000e+01,6.103026852721259443e-01,6.242125829060872766e-01,6.453941120607786797e-01,6.170212765957446832e-01
5.500000000000000000e+01,6.083776794728779080e-01,6.306875944137573242e-01,6.376068376068375620e-01,5.835866261398175991e-01
5.600000000000000000e+01,6.065166209425244537e-01,6.249510049819946289e-01,6.395061728395061706e-01,6.033434650455926640e-01
5.700000000000000000e+01,6.064660733654385627e-01,6.292885541915893555e-01,6.404558404558404749e-01,6.003039513677811412e-01
5.800000000000000000e+01,6.090557206244695543e-01,6.448747813701629639e-01,6.465337132003798892e-01,6.033434650455926640e-01
5.900000000000000000e+01,6.080291810489836246e-01,6.226829985777536658e-01,6.404558404558404749e-01,6.155015197568388663e-01
6.000000000000000000e+01,6.086759198279607652e-01,6.279553075631459924e-01,6.431149097815764826e-01,5.972644376899696184e-01
6.100000000000000000e+01,6.059515660717373908e-01,6.318988601366678504e-01,6.440645773979106758e-01,5.957446808510638014e-01
6.200000000000000000e+01,6.044422459034692885e-01,6.299176017443338660e-01,6.436847103513769763e-01,5.866261398176292330e-01
6.300000000000000000e+01,6.057821114857991907e-01,6.244823634624481201e-01,6.402659069325735697e-01,6.033434650455926640e-01
6.400000000000000000e+01,6.080780440852755486e-01,6.323915918668111535e-01,6.400759734093067754e-01,5.881458966565349389e-01
6.500000000000000000e+01,6.085606714089711877e-01,6.294411420822143555e-01,6.446343779677112806e-01,6.018237082066869581e-01
6.600000000000000000e+01,6.093800451074328217e-01,6.231669584910074500e-01,6.398860398860398702e-01,6.200607902735562060e-01
6.700000000000000000e+01,6.061432943457648603e-01,6.345614592234293250e-01,6.429249762583095773e-01,5.987841945288754353e-01
6.800000000000000000e+01,6.032364389726093679e-01,6.287831862767537805e-01,6.452041785375118854e-01,5.972644376899696184e-01
6.900000000000000000e+01,6.081742601735251608e-01,6.304105023543039588e-01,6.370370370370370683e-01,5.942249240121580955e-01
7.000000000000000000e+01,6.056380711850666287e-01,6.179689665635427209e-01,6.455840455840455849e-01,6.215805471124620230e-01
7.100000000000000000e+01,6.101601322491964075e-01,6.224389175573984412e-01,6.410256410256410797e-01,6.079027355623100037e-01
7.200000000000000000e+01,6.088254423368544277e-01,6.343577206134796143e-01,6.450142450142449801e-01,6.063829787234042978e-01
7.300000000000000000e+01,6.075603621346610250e-01,6.257468362649282190e-01,6.412155745489078740e-01,6.094224924012158207e-01
7.400000000000000000e+01,6.062663637456440213e-01,6.311472555001577112e-01,6.423551756885089725e-01,6.033434650455926640e-01
7.500000000000000000e+01,6.100657894497826250e-01,6.298813720544179651e-01,6.368471035137701630e-01,5.987841945288754353e-01
7.600000000000000000e+01,6.075791006996518195e-01,6.334993839263916016e-01,6.374169040835707678e-01,5.942249240121580955e-01
7.700000000000000000e+01,6.112760064147767514e-01,6.237997810045877722e-01,6.391263057929724711e-01,6.109422492401215266e-01
7.800000000000000000e+01,6.082632286208016215e-01,6.299682557582855225e-01,6.414055080721747792e-01,6.094224924012158207e-01
7.900000000000000000e+01,6.053856944754010261e-01,6.244636078675588342e-01,6.452041785375118854e-01,6.124620060790273435e-01
8.000000000000000000e+01,6.087125937143961218e-01,6.188951035340627405e-01,6.376068376068375620e-01,6.352583586626139311e-01
8.100000000000000000e+01,6.064063764753795382e-01,6.293158431847890588e-01,6.387464387464387716e-01,5.927051671732522786e-01
8.200000000000000000e+01,6.076751450697580603e-01,6.235721409320831299e-01,6.396961063627730759e-01,6.139817629179331604e-01
8.300000000000000000e+01,6.027170277777171847e-01,6.275908450285593299e-01,6.421652421652421783e-01,6.033434650455926640e-01
8.400000000000000000e+01,6.037064308211916863e-01,6.296888887882232666e-01,6.467236467236466835e-01,5.881458966565349389e-01
8.500000000000000000e+01,6.049007461184546797e-01,6.259150008360544470e-01,6.444444444444444864e-01,6.139817629179331604e-01
8.600000000000000000e+01,6.062896152337392541e-01,6.294479370117187500e-01,6.472934472934472883e-01,6.063829787234042978e-01
8.700000000000000000e+01,6.029608391580127957e-01,6.287597715854644775e-01,6.433048433048432768e-01,6.033434650455926640e-01
8.800000000000000000e+01,6.016298986616588351e-01,6.277023255825042725e-01,6.423551756885089725e-01,6.033434650455926640e-01
8.900000000000000000e+01,6.020521024862924842e-01,6.281465590000152588e-01,6.414055080721747792e-01,5.957446808510638014e-01
9.000000000000000000e+01,6.070171736535572293e-01,6.335590978463491174e-01,6.491927825261158969e-01,6.155015197568388663e-01
9.100000000000000000e+01,6.049998615469250884e-01,6.296665072441101074e-01,6.379867046533713726e-01,6.109422492401215266e-01
9.200000000000000000e+01,6.064881441139039486e-01,6.246398091316223145e-01,6.417853751187084788e-01,6.048632218844984809e-01
9.300000000000000000e+01,6.075375690346672686e-01,6.253352363904317590e-01,6.440645773979106758e-01,6.155015197568388663e-01
9.400000000000000000e+01,6.097373025757926168e-01,6.293659408887227746e-01,6.395061728395061706e-01,5.759878419452887366e-01
9.500000000000000000e+01,6.052691453979128777e-01,6.176664729913076135e-01,6.503323836657169954e-01,6.185410334346505001e-01
9.600000000000000000e+01,6.038527673199063361e-01,6.258972982565561560e-01,6.450142450142449801e-01,5.881458966565349389e-01
9.700000000000000000e+01,6.049764213107881039e-01,6.217954357465108606e-01,6.478632478632478930e-01,6.155015197568388663e-01
9.800000000000000000e+01,6.061102478277116123e-01,6.389309366544088098e-01,6.434947768281101821e-01,5.881458966565349389e-01
9.900000000000000000e+01,6.080912961846306475e-01,6.330982347329457971e-01,6.461538461538461897e-01,6.003039513677811412e-01
1.000000000000000000e+02,6.067837093557629791e-01,6.350206434726715088e-01,6.395061728395061706e-01,6.094224924012158207e-01
1.010000000000000000e+02,6.164352609997704180e-01,6.230842967828115198e-01,6.358974358974358587e-01,6.185410334346505001e-01
1.020000000000000000e+02,6.064553033737909438e-01,6.162040730317434045e-01,6.459639126305792844e-01,6.185410334346505001e-01
1.030000000000000000e+02,6.112591113362993989e-01,6.258251766363779334e-01,6.438746438746438816e-01,5.881458966565349389e-01
1.040000000000000000e+02,6.064034416562035235e-01,6.294608910878499719e-01,6.414055080721747792e-01,5.927051671732522786e-01
1.050000000000000000e+02,6.056215280578249871e-01,6.360037525494893762e-01,6.425451092117758778e-01,5.851063829787234161e-01
1.060000000000000000e+02,6.088465125787825283e-01,6.252623299757639197e-01,6.465337132003798892e-01,6.109422492401215266e-01
1.070000000000000000e+02,6.071866679759252428e-01,6.279682914415994910e-01,6.459639126305792844e-01,5.942249240121580955e-01
1.080000000000000000e+02,6.065602941172463236e-01,6.284144620100656775e-01,6.410256410256410797e-01,6.079027355623100037e-01
1.090000000000000000e+02,6.050765230542137774e-01,6.277829209963480261e-01,6.471035137701803830e-01,6.079027355623100037e-01
1.100000000000000000e+02,6.060610995406195967e-01,6.261644959449768066e-01,6.446343779677112806e-01,6.185410334346505001e-01
1.110000000000000000e+02,6.073806938670930355e-01,6.305022438367208215e-01,6.368471035137701630e-01,5.927051671732522786e-01
1.120000000000000000e+02,6.050321012735366821e-01,6.323100427786508826e-01,6.417853751187084788e-01,5.957446808510638014e-01
1.130000000000000000e+02,6.075548699923923879e-01,6.298672457536061975e-01,6.421652421652421783e-01,5.987841945288754353e-01
1.140000000000000000e+02,6.061923518067314776e-01,6.277290483315786096e-01,6.444444444444444864e-01,6.048632218844984809e-01
1.150000000000000000e+02,6.067295273145040246e-01,6.294226547082265588e-01,6.404558404558404749e-01,5.942249240121580955e-01
1.160000000000000000e+02,6.063845810436067074e-01,6.298119525114694861e-01,6.457739791073124902e-01,6.079027355623100037e-01
1.170000000000000000e+02,6.074033124106270609e-01,6.205688118934631348e-01,6.389363722697055659e-01,6.003039513677811412e-01
1.180000000000000000e+02,6.042097054776691678e-01,6.242607335249582556e-01,6.442545109211775811e-01,5.957446808510638014e-01
1.190000000000000000e+02,6.064774479184832368e-01,6.220213870207468299e-01,6.415954415954415735e-01,5.911854103343464617e-01
1.200000000000000000e+02,6.055225829283396033e-01,6.378415226936340332e-01,6.459639126305792844e-01,6.033434650455926640e-01
1.210000000000000000e+02,6.065848086561475005e-01,6.241943438847860071e-01,6.364672364672364635e-01,5.942249240121580955e-01
1.220000000000000000e+02,6.100677535647437422e-01,6.251087586085001258e-01,6.461538461538461897e-01,5.957446808510638014e-01
1.230000000000000000e+02,6.070283310753958883e-01,6.339268187681833533e-01,6.429249762583095773e-01,5.987841945288754353e-01
1.240000000000000000e+02,6.068350984936669024e-01,6.291036705176035193e-01,6.505223171889839007e-01,6.079027355623100037e-01
1.250000000000000000e+02,6.113692976179576632e-01,6.234259406725565222e-01,6.389363722697055659e-01,6.124620060790273435e-01
1.260000000000000000e+02,6.103867462703159719e-01,6.232156654198964807e-01,6.499525166191832959e-01,5.972644376899696184e-01
1.270000000000000000e+02,6.071575624602181254e-01,6.211510797341665002e-01,6.383665716999050721e-01,6.109422492401215266e-01
1.280000000000000000e+02,6.074561533473786801e-01,6.229179104169210168e-01,6.434947768281101821e-01,5.987841945288754353e-01
1.290000000000000000e+02,6.079643170038858679e-01,6.279671092828115198e-01,6.461538461538461897e-01,6.033434650455926640e-01
1.300000000000000000e+02,6.030360488664536778e-01,6.251134574413299561e-01,6.461538461538461897e-01,5.911854103343464617e-01
1.310000000000000000e+02,6.074077274118151459e-01,6.320096651713053015e-01,6.429249762583095773e-01,5.987841945288754353e-01
1.320000000000000000e+02,6.056328614552816125e-01,6.200778583685556677e-01,6.419753086419752730e-01,5.987841945288754353e-01
1.330000000000000000e+02,6.061180574553353129e-01,6.283807456493377686e-01,6.474833808167141935e-01,5.987841945288754353e-01
1.340000000000000000e+02,6.091976903733753446e-01,6.233391265074411658e-01,6.414055080721747792e-01,6.094224924012158207e-01
1.350000000000000000e+02,6.107585359187353014e-01,6.230646967887878418e-01,6.406457739791072692e-01,6.018237082066869581e-01
1.360000000000000000e+02,6.070988447893232998e-01,6.285784641901651648e-01,6.415954415954415735e-01,5.957446808510638014e-01
1.370000000000000000e+02,6.052453560488564310e-01,6.249728302160898474e-01,6.415954415954415735e-01,6.079027355623100037e-01
1.380000000000000000e+02,6.092883774212428660e-01,6.283219456672668457e-01,6.301994301994301440e-01,6.139817629179331604e-01
1.390000000000000000e+02,6.073176264762878418e-01,6.285333534081777307e-01,6.412155745489078740e-01,6.155015197568388663e-01
1.400000000000000000e+02,6.079429217747279734e-01,6.188529829184213904e-01,6.436847103513769763e-01,6.215805471124620230e-01
1.410000000000000000e+02,6.078747539293198887e-01,6.290352940559387207e-01,6.404558404558404749e-01,6.033434650455926640e-01
1.420000000000000000e+02,6.031329064142136875e-01,6.248818834622701379e-01,6.463437796771129840e-01,5.927051671732522786e-01
1.430000000000000000e+02,6.075343063899448781e-01,6.374729772408803674e-01,6.425451092117758778e-01,5.957446808510638014e-01
1.440000000000000000e+02,6.088143828369322330e-01,6.306502819061279297e-01,6.433048433048432768e-01,5.851063829787234161e-01
1.450000000000000000e+02,6.067701365266527924e-01,6.346289912859598425e-01,6.471035137701803830e-01,6.003039513677811412e-01
1.460000000000000000e+02,6.050365780081067291e-01,6.267422139644622803e-01,6.448243114909781859e-01,6.063829787234042978e-01
1.470000000000000000e+02,6.049367714495885728e-01,6.276397605737050744e-01,6.444444444444444864e-01,6.003039513677811412e-01
1.480000000000000000e+02,6.058353724933805973e-01,6.261779169241586951e-01,6.391263057929724711e-01,6.003039513677811412e-01
1.490000000000000000e+02,6.050449723289126336e-01,6.184633672237396240e-01,6.406457739791072692e-01,5.972644376899696184e-01
1.500000000000000000e+02,6.082097958950769545e-01,6.245438754558563232e-01,6.412155745489078740e-01,6.063829787234042978e-01
